!!SBtab SBtabVersion=’1.0’	TableName=’K. brasiliensis SBTab Compound Table’	TableType=’Compound’
!ID	!Name	!Identifiers:kegg.compound	!Identifiers:bigg.metabolite	!Identifiers:biocyc	!StructureFormula
sbtabcomp1424	Shikimate 3-phosphate	C03175	skm5p		C7H11O8P
sbtabcomp1425	Sulfite	C00094	so3		H2SO3
sbtabcomp1426	Sulfate	C00059	so4		H2SO4
sbtabcomp1427	Sphinganine	C00836	sphgn		C18H39NO2
sbtabcomp1428	Sphingosine	C00319	sphings		C18H37NO2
sbtabcomp1429	Sphingosine 1-phosphate	C06124	sphs1p		C18H38NO5P
sbtabcomp1430	Spermidine	C00315	spmd		C7H19N3
sbtabcomp1431	Spermine	C00750	sprm		C10H26N4
sbtabcomp1432	Squalene	C00751	sql		C30H50
sbtabcomp1433	Serotonin	C00780	srtn		C10H12N2O
sbtabcomp1434	Stearoyl-CoA	C00412	stcoa		C39H70N7O17P3S
sbtabcomp1435	Stachyose	C01613	stys		C24H42O21
sbtabcomp1436	Succinate	C00042	succ		C4H6O4
sbtabcomp1437	Succinyl-CoA	C00091	succoa		C25H40N7O19P3S
sbtabcomp1438	Sucrose	C00089	sucr		C12H22O11
sbtabcomp1439	Succinate semialdehyde	C00232	sucsal		C4H6O3
sbtabcomp1440	4-Coumarate	C00811	T4hcinnm		C9H8O3
sbtabcomp1441	D-Tagatose 6-phosphate	C01097	tag6p__D		C6H13O9P
sbtabcomp1442	D-Tagatose 1,6-bisphosphate	C03785	tagdp__D		C6H14O12P2
sbtabcomp1443	Taurine	C00245	taur		C2H7NO3S
sbtabcomp1444	Thiocyanate	C01755	tcynt		CHNS
sbtabcomp1445	trans-Tetradec-2-enoyl-CoA	C05273	td2coa		C35H60N7O17P3S
sbtabcomp1446	Tetradecanoyl-CoA	C02593	tdcoa		C35H62N7O17P3S
sbtabcomp1447	trans-Dodec-2-enoyl-[acp]	C05758	tddec2eACP		C12H21OSR
sbtabcomp1448	trans-Dec-2-enoyl-[acp]	C05754	tdec2eACP		C10H17OSR
sbtabcomp1449	N-Tetradecanoylglycylpeptide	C03881	tglp		C16H31NO3(C2H2NOR)n
sbtabcomp1450	trans-Hex-2-enoyl-[acp]	C05748	thex2eACP		C6H9OSR
sbtabcomp1451	Tetrahydrofolate	C00101	thf		C19H23N7O6
sbtabcomp1452	Thiamine	C00378	thm		C12H17N4OS
sbtabcomp1453	Thiamin monophosphate	C01081	thmmp		C12H18N4O4PS
sbtabcomp1454	Thiamin diphosphate	C00068	thmpp		C12H19N4O7P2S
sbtabcomp1455	Thiamin triphosphate	C03028	thmtp		C12H20N4O10P3S
sbtabcomp1456	(S)-2,3,4,5-Tetrahydropyridine-2-carboxylate	C00450	thp2c		C6H9NO2
sbtabcomp1457	L-Threonine	C00188	thr__L		C4H9NO3
sbtabcomp1458	L-Threonyl-tRNA(Thr)	C02992	thrtrna		C14H24NO12PR2(C5H8O6PR)n
sbtabcomp1459	N6,N6,N6-Trimethyl-L-lysine	C03793	tmlys		C9H20N2O2
sbtabcomp1460	trans-Tetradec-2-enoyl-[acp]	C05760	tmrs2eACP		C14H25OSR
sbtabcomp1461	trans-Oct-2-enoyl-[acp]	C05751	toct2eACP		C8H13OSR
sbtabcomp1462	trans-Hexadec-2-enoyl-[acp]	C05763	tpalm2eACP		C16H29OSR
sbtabcomp1463	Thioredoxin disulfide	C00343	trdox		C10H12N4O4S2R4
sbtabcomp1464	Thioredoxin	C00342	trdrd		C10H14N4O4S2R4
sbtabcomp1465	alpha,alpha-Trehalose	C01083	tre		C12H22O11
sbtabcomp1466	alpha,alpha'-Trehalose 6-phosphate	C00689	tre6p		C12H23O14P
sbtabcomp1467	tRNA(Ala)	C01635	trnaala		
sbtabcomp1468	tRNA(Arg)	C01636	trnaarg		
sbtabcomp1469	tRNA(Asn)	C01637	trnaasn		
sbtabcomp1470	tRNA(Asp)	C01638	trnaasp		
sbtabcomp1471	tRNA(Cys)	C01639	trnacys		
sbtabcomp1472	ROH	C01335	alcohol		HOR
sbtabcomp1473	tRNA(Gln)	C01640	trnagln		
sbtabcomp1474	Alcohol	C00069	roh		HOR
sbtabcomp1475	tRNA(Glu)	C01641	trnaglu		
sbtabcomp1476	tRNA(Gly)	C01642	trnagly		
sbtabcomp1477	tRNA(His)	C01643	trnahis		
sbtabcomp1478	tRNA(Ile)	C01644	trnaile		
sbtabcomp1479	tRNA(Leu)	C01645	trnaleu		
sbtabcomp1480	tRNA(Lys)	C01646	trnalys		
sbtabcomp1481	tRNA(Met)	C01647	trnamet		
sbtabcomp1482	tRNA(Phe)	C01648	trnaphe		
sbtabcomp1483	tRNA(Pro)	C01649	trnapro		
sbtabcomp1484	tRNA(Ser)	C01650	trnaser		
sbtabcomp1485	tRNA(Thr)	C01651	trnathr		
sbtabcomp1486	tRNA(Trp)	C01652	trnatrp		
sbtabcomp1487	tRNA(Tyr)	C00787	trnatyr		
sbtabcomp1488	tRNA(Val)	C01653	trnaval		
sbtabcomp1489	L-Tryptophan	C00078	trp__L		C11H12N2O2
sbtabcomp1490	L-Tryptophanyl-tRNA(Trp)	C03512	trptrna		C26H31N7O11PR(C5H8O6PR)n
sbtabcomp1491	Tryptamine	C00398	trypta		C10H12N2
sbtabcomp1492	Testosterone	C00535	tststerone		C19H28O2
sbtabcomp1493	Thiosulfate	C00320	tsul		HS2O3
sbtabcomp1494	Tyramine	C00483	tym		C8H11NO
sbtabcomp1495	L-Tyrosine	C00082	tyr__L		C9H11NO3
sbtabcomp1496	L-Tyrosyl-tRNA(Tyr)	C02839	tyrtrna		C24H30N6O12PR(C5H8O6PR)n
sbtabcomp1497	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	C04631	uaccg		C20H29N3O19P2
sbtabcomp1498	UDP-N-acetyl-alpha-D-glucosamine	C00043	uacgam		C17H27N3O17P2
sbtabcomp1499	UDP-N-acetylmuramate	C01050	uamr		C20H31N3O19P2
sbtabcomp1500	UDP	C00015	udp		C9H14N2O12P2
sbtabcomp1501	UDP-glucose	C00029	udpg		C15H24N2O17P2
sbtabcomp1502	UDP-alpha-D-galactose	C00052	udpgal		C15H24N2O17P2
sbtabcomp1503	UDP-alpha-D-galactofuranose	C03733	udpgalfur		C15H24N2O17P2
sbtabcomp1504	UDP-glucuronate	C00167	udpglcur		C15H22N2O18P2
sbtabcomp1505	UDP-D-xylose	C00190	udpxyl		C14H22N2O16P2
sbtabcomp1506	UMP	C00105	ump		C9H13N2O9P
sbtabcomp1507	Uroporphyrinogen I	C05766	uppg1		C40H44N4O16
sbtabcomp1508	Uroporphyrinogen III	C01051	uppg3		C40H44N4O16
sbtabcomp1509	Uracil	C00106	ura		C4H4N2O2
sbtabcomp1510	Urate	C00366	urate		C5H4N4O3
sbtabcomp1511	(-)-Ureidoglycolate	C00603	urdglyc		C3H6N2O4
sbtabcomp1512	Urea	C00086	urea		CH4N2O
sbtabcomp1513	Uridine	C00299	uri		C9H12N2O6
sbtabcomp1514	UTP	C00075	utp		C9H15N2O15P3
sbtabcomp1515	L-Valine	C00183	val__L		C5H11NO2
sbtabcomp1516	L-Valyl-tRNA(Val)	C02554	valtrna		C20H30N6O11PR(C5H8O6PR)n
sbtabcomp1517	4-Hydroxy-3-methoxy-benzaldehyde	C00755	vanln		C8H8O3
sbtabcomp1518	Xanthine	C00385	xan		C5H4N4O2
sbtabcomp1519	Xanthosine 5'-phosphate	C00655	xmp		C10H13N4O9P
sbtabcomp1520	D-Xylulose 5-phosphate	C00231	xu5p__D		C5H11O8P
sbtabcomp1521	D-Xylose	C00181	xyl__D		C5H10O5
sbtabcomp1522	Xylitol	C00379	xylt		C5H12O5
sbtabcomp1523	L-Xylulose	C00312	xylu__L		C5H10O5
sbtabcomp1524	Zymosterol	C05437	zymst		C27H44O
